09/17/2017, 14/49/54, BTC ,0 ,N/A, 3607.1 LTC ,0 ,N/A, 49.0294 ETH ,0 ,N/A, 251.944 
09/17/2017, 14/50/24, BTC ,60 ,-0.01, 3607.1 LTC ,5 ,0.33, 49.0294 ETH ,21 ,0.1, 251.944 
09/17/2017, 14/50/55, BTC ,34 ,0.1, 3602.94 LTC ,4 ,0.13, 48.8505 ETH ,13 ,0.04, 251.549 
09/17/2017, 14/51/27, BTC ,48 ,-0.0, 3602.94 LTC ,3 ,0.19, 48.8505 ETH ,16 ,0.13, 251.549 
09/17/2017, 14/51/58, BTC ,42 ,-0.04, 3602.94 LTC ,4 ,0.15, 48.8505 ETH ,14 ,0.18, 251.549 
09/17/2017, 14/52/29, BTC ,46 ,0.04, 3602.94 LTC ,9 ,0.01, 48.8505 ETH ,23 ,0.08, 251.549 
09/17/2017, 14/52/59, BTC ,50 ,0.08, 3602.94 LTC ,2 ,-0.19, 48.8505 ETH ,20 ,0.09, 251.549 
09/17/2017, 14/53/29, BTC ,59 ,0.08, 3602.94 LTC ,6 ,0.3, 48.8505 ETH ,17 ,0.15, 251.549 
09/17/2017, 14/53/59, BTC ,28 ,0.12, 3602.94 LTC ,3 ,0.27, 48.8505 ETH ,7 ,0.0, 251.549 
09/17/2017, 14/54/29, BTC ,31 ,0.08, 3602.94 LTC ,1 ,0.0, 48.8505 ETH ,10 ,0.1, 251.549 
09/17/2017, 14/55/02, BTC ,48 ,0.14, 3602.03 LTC ,3 ,0.17, 48.8884 ETH ,26 ,0.3, 251.331 
09/17/2017, 14/55/32, BTC ,41 ,0.1, 3602.03 LTC ,3 ,0.22, 48.8884 ETH ,5 ,-0.03, 251.331 
09/17/2017, 14/56/02, BTC ,33 ,0.04, 3602.03 LTC ,2 ,0.0, 48.8884 ETH ,15 ,0.23, 251.331 
09/17/2017, 14/56/33, BTC ,35 ,0.05, 3602.03 LTC ,5 ,0.17, 48.8884 ETH ,23 ,0.14, 251.331 
09/17/2017, 14/57/03, BTC ,33 ,0.19, 3602.03 LTC ,2 ,-0.19, 48.8884 ETH ,7 ,0.38, 251.331 
09/17/2017, 14/57/34, BTC ,33 ,0.15, 3602.03 LTC ,3 ,0.15, 48.8884 ETH ,12 ,0.27, 251.331 
09/17/2017, 14/58/05, BTC ,32 ,-0.02, 3602.03 LTC ,3 ,0.0, 48.8884 ETH ,11 ,0.0, 251.331 
09/17/2017, 14/58/38, BTC ,32 ,0.03, 3602.03 LTC ,3 ,0.0, 48.8884 ETH ,13 ,0.02, 251.331 
09/17/2017, 14/59/09, BTC ,39 ,0.08, 3602.03 LTC ,3 ,0.07, 48.8884 ETH ,26 ,0.15, 251.331 
09/17/2017, 14/59/39, BTC ,41 ,0.06, 3602.03 LTC ,7 ,0.24, 48.8884 ETH ,23 ,0.14, 251.331 
09/17/2017, 15/00/09, BTC ,76 ,0.1, 3602.03 LTC ,10 ,0.09, 48.8884 ETH ,37 ,0.12, 251.331 
09/17/2017, 15/00/40, BTC ,81 ,0.14, 3602.03 LTC ,11 ,0.04, 48.8884 ETH ,33 ,0.11, 251.331 
09/17/2017, 15/01/10, BTC ,98 ,0.12, 3599.95 LTC ,12 ,0.04, 48.9051 ETH ,23 ,0.11, 251.514 
09/17/2017, 15/01/41, BTC ,85 ,0.13, 3599.95 LTC ,19 ,0.23, 48.9051 ETH ,35 ,0.22, 251.514 
09/17/2017, 15/02/11, BTC ,41 ,0.02, 3599.95 LTC ,6 ,0.09, 48.9051 ETH ,10 ,0.12, 251.514 
09/17/2017, 15/02/42, BTC ,47 ,0.14, 3599.95 LTC ,5 ,0.14, 48.9051 ETH ,8 ,0.43, 251.514 
